datetime,saturated_thickness
2020-01,13.91361
2019-11,13.88758
2019-10,13.86061
2019-08,13.83269
2019-06,13.80379
2019-05,13.77387
2019-03,13.74292
2019-01,13.71091
2018-12,13.67782
2018-10,13.64361
2018-09,13.60827
2018-07,13.57177
2018-05,13.53407
2018-04,13.49518
2018-02,13.45505
2017-12,13.41366
2017-11,13.37100
2017-09,13.32705
2017-07,13.28177
2017-06,13.23517
2017-04,13.18722
2017-03,13.13790
2017-01,13.08721
2016-11,13.03513
2016-10,12.98165
2016-08,12.92677
2016-06,12.87048
2016-05,12.81277
2016-03,12.75365
2016-02,17.70800
2015-12,31.15461
2015-03,40.64000
2015-02,22.75667
2014-12,30.59803
2014-02,40.19143
2014-01,34.57857
2013-12,28.69896
2013-02,40.43143
2013-01,32.46375
2012-12,29.15081
2012-07,23.90000
2012-04,43.36400
2012-02,36.84833
2012-01,69.35000
2011-12,28.96224
2011-03,-6.54000
2011-02,27.89667
2011-01,33.28984
2010-04,-4.20333
2010-03,3.71600
2010-02,0.16400
2010-01,-4.31375
2009-12,28.70890
2009-11,-4.26875
2009-10,-4.26875
2009-09,-4.15375
2009-08,-3.84375
2009-07,-3.71125
2009-06,3.22600
2009-05,-3.49875
2009-04,-3.31875
2009-03,8.54769
2009-02,-2.93750
2009-01,29.81217
2008-12,-2.82500
2008-11,-2.89375
2008-10,-2.98750
2008-09,-3.03000
2008-08,-2.74750
2008-07,-2.60250
2008-06,4.28400
2008-05,-2.18000
2008-04,-1.85500
2008-03,-1.57000
2008-02,28.63355
2008-01,-1.42750
2007-12,-1.49375
2007-11,-1.61000
2007-10,-1.61250
2007-09,-1.50250
2007-08,-0.95500
2007-07,-0.06250
2007-06,0.25250
2007-05,0.36500
2007-04,0.37250
2007-03,1.34167
2007-02,1.32375
2007-01,30.81294
2006-12,1.12000
2006-11,0.95750
2006-10,0.94625
2006-09,0.83250
2006-08,0.75625
2006-07,0.44250
2006-06,0.15000
2006-05,0.00875
2006-04,-0.09125
2006-03,-0.06625
2006-02,34.28782
2006-01,19.40375
2005-10,-0.68000
2005-08,-0.53625
2005-07,-0.23222
2005-06,-0.06750
2005-05,0.13444
2005-04,0.31500
2005-03,3.24556
2005-02,0.09714
2005-01,32.29416
2004-12,-0.14889
2004-11,-0.33875
2004-10,-0.33889
2004-09,-0.19875
2004-08,0.00750
2004-07,0.25714
2004-06,0.37250
2004-05,0.59375
2004-04,0.66875
2004-03,8.47444
2004-02,31.95979
2004-01,27.09946
2003-12,0.50625
2003-11,0.49250
2003-10,0.44286
2003-09,0.69125
2003-08,1.17000
2003-07,1.47625
2003-06,1.56375
2003-05,1.83444
2003-04,2.03750
2003-03,6.80636
2003-02,34.25566
2003-01,2.07000
2002-12,2.10625
2002-08,2.30667
2002-07,38.16000
2002-06,2.56333
2002-05,2.74500
2002-04,2.92500
2002-03,12.99800
2002-02,2.82000
2002-01,36.29408
2001-12,2.92667
2001-11,2.65000
2001-10,2.48000
2001-09,27.38750
2001-03,3.34000
2001-01,37.26868
2000-10,3.25250
2000-01,37.93515
1999-06,6.89000
1999-02,58.00000
1999-01,39.30588
1998-02,32.09000
1998-01,41.45592
1997-11,63.90000
1997-09,6.66034
1997-08,6.72233
1997-07,6.91033
1997-06,6.90448
1997-05,6.88968
1997-04,7.01033
1997-03,10.97324
1997-02,20.84787
1997-01,28.35026
1996-12,7.29871
1996-11,7.24000
1996-10,8.77969
1996-08,7.08500
1996-06,42.39000
1996-05,38.20000
1996-04,38.20000
1996-03,39.70000
1996-02,41.55118
1996-01,19.69000
1995-12,39.95000
1995-11,40.53000
1995-10,39.12000
1995-09,38.37000
1995-08,36.20000
1995-05,17.33000
1995-03,41.10333
1995-02,36.36000
1995-01,46.45051
