datetime,saturated_thickness
2012-05,1713.55
2012-04,1713.41
2012-03,1712.0
2012-02,1709.7
2012-01,1707.35
2011-12,1711.1
2011-11,1711.0
2011-10,1709.75
2011-09,1706.8
2011-08,1708.2
2011-07,1701.0
2011-06,1707.8
2011-05,1703.8
2011-04,1703.3
2011-03,1705.3
2011-02,1711.8
2011-01,1712.5
2010-12,1713.1
2010-11,1713.05
2010-10,1713.7
2010-09,1713.45
2010-07,1711.0
2010-06,1707.4
2010-05,1713.8
2010-04,1709.25
2010-03,1708.7
2010-02,1701.95
2010-01,1704.55
2009-12,1703.5
2009-11,1704.95
2009-10,1709.4
2009-09,1706.25
2009-08,1697.5
2009-07,1700.6
2009-06,1698.06
2009-05,1701.88
2009-04,1704.2
2009-03,1705.51
2009-02,1703.09
2009-01,1692.7
2008-12,1712.1
2008-11,1712.39
2008-10,1713.6
2008-09,1711.61
2008-08,1696.28
2008-07,1694.57
2008-06,1696.18
2008-05,1716.73
2008-04,1714.72
2008-03,1719.98
2008-02,1718.96
2008-01,1719.97
2007-12,1721.05
2007-11,1721.92
2007-10,1723.69
2007-09,1724.88
2007-08,1725.35
2007-07,1716.81
2007-06,1716.33
2007-04,1714.74
2007-03,1713.2
2007-02,1710.68
2007-01,1707.59
2006-12,1708.47
2006-11,1709.88
2006-10,1710.54
2006-09,1715.0
2006-08,1711.56
2006-07,1707.32
2006-06,1710.49
2006-05,1714.57
2006-04,1715.14
2006-03,1716.78
2006-02,1717.22
2006-01,1715.66
2005-12,1713.74
2005-11,1714.84
2005-10,1716.13
2005-09,1714.59
2001-04,1707.87
2001-03,1708.95
2001-02,1709.16
2000-12,1708.19
2000-02,1706.89
